2023-10-31 16:44, 217.12 seconds
2023-10-31 16:46, 100.44 seconds
2023-10-31 16:48, 104.74 seconds
2023-10-31 16:49, 64.91 seconds
2023-10-31 16:50, 61.92 seconds
2023-10-31 16:51, 80.17 seconds
2023-10-31 16:53, 84.69 seconds
2023-10-31 16:54, 76.90 seconds
2023-10-31 16:55, 76.26 seconds
2023-10-31 16:56, 77.74 seconds
2023-10-31 17:09, 31.88 seconds
2023-10-31 17:14, 143.99 seconds
2023-10-31 17:16, 52.82 seconds
2023-10-31 17:17, 54.51 seconds
2023-10-31 17:18, 59.93 seconds
2023-10-31 17:20, 101.18 seconds
2023-10-31 17:20, 45.51 seconds
2023-10-31 17:21, 33.98 seconds
2023-10-31 17:22, 33.85 seconds
2023-10-31 17:22, 47.87 seconds
2023-10-31 17:23, 40.71 seconds
2023-10-31 17:24, 37.32 seconds
2023-10-31 17:39, 13.44 seconds
2023-10-31 17:39, 13.76 seconds
2023-10-31 17:39, 13.97 seconds
2023-10-31 17:40, 14.81 seconds
2023-10-31 17:40, 14.43 seconds
2023-10-31 17:40, 14.98 seconds
2023-10-31 17:40, 20.51 seconds
2023-10-31 17:41, 19.50 seconds
2023-10-31 17:41, 18.97 seconds
2023-10-31 17:41, 18.75 seconds
2023-10-31 17:50, 15.09 seconds
2023-10-31 17:50, 17.19 seconds
2023-10-31 17:50, 18.32 seconds
2023-10-31 17:51, 18.30 seconds
2023-10-31 17:51, 20.56 seconds
2023-10-31 17:51, 19.10 seconds
2023-10-31 17:52, 19.76 seconds
2023-10-31 17:52, 19.55 seconds
2023-10-31 17:52, 18.73 seconds
2023-10-31 17:53, 18.94 seconds
2023-10-31 18:06, 114.25 seconds
2023-10-31 18:36, 51.04 seconds
2023-10-31 18:39, 68.59 seconds
2023-10-31 18:42, 128.22 seconds
2023-10-31 18:47, 69.87 seconds
2023-10-31 18:51, 65.71 seconds
2023-10-31 19:03, 64.28 seconds
2023-10-31 19:05, 84.30 seconds
2023-10-31 19:09, 134.46 seconds
2023-10-31 19:11, 81.68 seconds
2023-10-31 19:14, 77.38 seconds
2023-10-31 19:15, 47.18 seconds
2023-10-31 19:19, 221.33 seconds
2023-10-31 19:22, 128.10 seconds
2023-10-31 19:25, 81.73 seconds
2023-10-31 19:28, 138.79 seconds
2023-10-31 19:31, 133.68 seconds
2023-10-31 19:35, 161.62 seconds
2023-10-31 19:39, 151.32 seconds
2023-10-31 19:42, 157.70 seconds
2023-10-31 19:48, 167.78 seconds
2023-10-31 19:54, 290.05 seconds
2023-10-31 19:56, 116.77 seconds
2023-10-31 20:00, 161.90 seconds
2023-10-31 20:05, 101.59 seconds
2023-10-31 20:15, 253.52 seconds
2023-10-31 20:18, 135.42 seconds
2023-10-31 20:21, 173.79 seconds
2023-10-31 20:22, 99.62 seconds
2023-10-31 20:25, 144.14 seconds
2023-10-31 20:28, 174.06 seconds
2023-10-31 20:29, 107.47 seconds
2023-10-31 20:31, 113.17 seconds
2023-10-31 20:34, 166.87 seconds
2023-10-31 20:36, 136.93 seconds
2023-10-31 20:38, 127.09 seconds
2023-10-31 20:45, 86.67 seconds
2023-10-31 21:15, 89.42 seconds
2023-10-31 21:17, 73.18 seconds
2023-10-31 21:18, 74.28 seconds
2023-10-31 21:19, 70.65 seconds
2023-10-31 21:21, 135.85 seconds
2023-10-31 21:23, 121.36 seconds
2023-10-31 21:25, 69.60 seconds
2023-10-31 21:26, 103.34 seconds
2023-10-31 21:29, 146.90 seconds
2023-10-31 21:30, 77.33 seconds
2023-11-01 12:13, 342.72 seconds
2023-11-01 12:22, 93.22 seconds
2023-11-01 12:25, 134.47 seconds
2023-11-01 12:30, 327.68 seconds
2023-11-01 12:46, 324.05 seconds
2023-11-01 12:49, 131.84 seconds
2023-11-01 12:51, 121.11 seconds
2023-11-01 12:59, 146.13 seconds
